AIS_rank,vessel_name,MMSI,IMO,vessel_type,AIS5_score,min_synchronized_distance_km,exact_close_encounter_count,longest_consecutive_encounter,consecutive_duration_hours,AIS_coverage_fraction,best_encounter_timestamp,best_encounter_lat,best_encounter_lon,matched_candidate_id,matched_candidate_lat,matched_candidate_lon,candidate_support,cluster_id,AIS4_null_p_value,data_availability_note
1,SEASPAN CARRIER U94,211482965,9447036,Product Tanker,0.3696340981433723,0.1078330609759898,1259,3.0,3.0,0.9166666666666666,2019-04-26 00:38:41+00:00,34.433321,35.076634,2019-04-26T00:38:41_cand038,34.4329553526544,35.07772299877401,2.9870668315037654,cluster0000,0.0,"67 AIS observations total; 66/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
2,MT SPIRIT Y80,370978298,9640149,Crude Oil Tanker,0.3296779863097253,2.094723638101116,1647,7.0,7.0,1.0,2019-04-25 18:38:41+00:00,34.694204,35.28441,2019-04-25T18:38:41_cand046,34.67595535265441,35.278722998774015,2.869981869938368,cluster0000,0.5070422535211268,"73 AIS observations total; 72/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
3,OCEAN GLORY U47,352510260,9371055,LNG Carrier,0.3087643144389875,11.75177029559235,396,0.0,0.0,0.6527777777777778,2019-04-27 04:38:41+00:00,34.584079,35.269032,2019-04-27T04:38:41_cand007,34.68495535265441,35.23072299877401,6.119277712634894,cluster0000,0.5492957746478874,"48 AIS observations total; 47/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
4,NORDIC SPIRIT W40,256383837,9512902,Chemical Tanker,0.2602471830377903,3.425649330160164,885,1.0,1.0,0.2083333333333333,2019-04-25 15:38:41+00:00,34.754984,35.302501,2019-04-25T15:38:41_cand051,34.762955352654416,35.33872299877402,3.186899378248561,cluster0000,0.2957746478873239,"15 AIS observations total; 15/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
5,PACIFIC JEWEL Z77,352844541,9991838,Crude Oil Tanker,0.2291534208623299,5.958571707599662,1647,3.0,3.0,1.0,2019-04-26 05:38:41+00:00,34.778245,35.160832,2019-04-26T05:38:41_cand046,34.726955352654414,35.17972299877401,3.0053158768191457,cluster0000,0.9014084507042254,"73 AIS observations total; 72/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
6,MV EAGLE B40,352291216,9348833,Bulk Carrier,0.220648424545202,15.111846833546045,419,0.0,0.0,0.6666666666666666,2019-04-26 16:38:41+00:00,34.840994,35.504356,2019-04-26T16:38:41_cand011,34.747955352654415,35.38372299877402,5.895540450092556,cluster0000,0.3661971830985915,"49 AIS observations total; 48/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
7,MINERVA NAVIGATOR J50,538570865,9763827,Product Tanker,0.201380350757851,16.0255986672515,1478,0.0,0.0,0.5277777777777778,2019-04-26 16:38:41+00:00,34.708321,34.933917,2019-04-26T16:38:41_cand017,34.67595535265441,35.10472299877401,2.948914743260022,cluster0000,0.7323943661971831,"38 AIS observations total; 38/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
8,PACIFIC PIONEER H50,370393403,9478355,Crude Oil Tanker,0.1878926600615909,16.718844363294703,1574,0.0,0.0,0.9861111111111112,2019-04-26 09:38:41+00:00,34.304068,35.132325,2019-04-26T09:38:41_cand038,34.4299553526544,35.032722998774005,2.8823063476803568,cluster0000,0.380281690140845,"72 AIS observations total; 71/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
9,EVER SPIRIT Y77,352969548,9943913,Product Tanker,0.1814776660990521,9.1850721437466,1585,1.0,1.0,0.7222222222222222,2019-04-27 09:38:41+00:00,34.374211,34.98576,2019-04-27T09:38:41_cand003,34.450955352654404,34.948722998774,59.14994126314119,cluster0000,0.6197183098591549,"52 AIS observations total; 52/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
10,PACIFIC LEADER R36,636844994,9552846,General Cargo,0.1677816811182557,8.336148340872118,1578,2.0,2.0,0.6944444444444444,2019-04-27 05:38:41+00:00,34.686581,34.97381,2019-04-27T05:38:41_cand007,34.63395535265441,35.038722998774006,9.017033056759963,cluster0000,0.7183098591549296,"50 AIS observations total; 50/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
11,OCEAN HORIZON S52,311228164,9123232,Crude Oil Tanker,0.1348937599378165,20.032677737855582,1106,0.0,0.0,0.2777777777777778,2019-04-25 15:38:41+00:00,35.104377,35.736687,2019-04-25T15:38:41_cand048,34.978955352654424,35.578722998774026,3.264349973541931,cluster0000,0.0,"20 AIS observations total; 20/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
12,MT GLORY R38,538688104,9653968,General Cargo,0.1114670633914515,21.940261273121987,1490,0.0,0.0,0.5416666666666666,2019-04-27 02:38:41+00:00,34.416966,35.229383,2019-04-27T02:38:41_cand012,34.462955352654404,34.996722998774004,3.0245875959855644,cluster0000,0.5352112676056338,"39 AIS observations total; 39/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
13,MAERSK OASIS G89,352546934,9683055,Bulk Carrier,0.0990152045263369,23.12481859565802,1500,0.0,0.0,0.5555555555555556,2019-04-26 12:38:41+00:00,34.575072,34.758389,2019-04-26T12:38:41_cand029,34.513955352654406,34.999722998774004,2.865535949637567,cluster0000,0.8169014084507042,"40 AIS observations total; 40/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
14,OCEAN TRADER A62,636279196,9817009,Container Ship,0.0787925853054662,25.409363816538225,211,0.0,0.0,0.0416666666666666,2019-04-25 16:38:41+00:00,35.058122,35.836089,2019-04-25T16:38:41_cand065,34.91595535265442,35.61772299877403,2.810223495241881,cluster0006,0.0140845070422535,"3 AIS observations total; 3/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
15,MSC GLORY U28,235647063,9403506,Product Tanker,0.0741178921579499,26.02098316205322,304,0.0,0.0,0.5833333333333334,2019-04-26 20:38:41+00:00,34.228032,34.809347,2019-04-26T20:38:41_cand010,34.4209553526544,34.969722998774,5.995064913672572,cluster0000,0.1267605633802817,"42 AIS observations total; 42/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
