particle_id,forcing_member_id,timestamp,lat,lon,valid
0,0,2019-04-25 15:38:41,34.961086976331465,35.58147099101938,True
0,1,2019-04-25 15:38:41,34.89434711281105,35.567130671346504,True
0,2,2019-04-25 15:38:41,34.83746188717845,35.550221167542894,True
0,3,2019-04-25 15:38:41,34.91513695426064,35.5116751285632,True
0,4,2019-04-25 15:38:41,34.85637168138668,35.452194641923455,True
0,5,2019-04-25 15:38:41,34.84494655214894,35.47927706959812,True
1,0,2019-04-25 15:38:41,34.935661949828685,35.582897328327604,True
1,1,2019-04-25 15:38:41,34.89112438071848,35.57747499169833,True
1,2,2019-04-25 15:38:41,34.82914016504258,35.55193201290703,True
1,3,2019-04-25 15:38:41,34.953132728328896,35.528376469493224,True
1,4,2019-04-25 15:38:41,34.8331184828428,35.43537020862938,True
1,5,2019-04-25 15:38:41,34.81007504916786,35.46150227348509,True
2,0,2019-04-25 15:38:41,34.92913774070011,35.585144685969254,True
2,1,2019-04-25 15:38:41,34.90579412218253,35.559801917339556,True
2,2,2019-04-25 15:38:41,34.84806531112706,35.56328394676403,True
2,3,2019-04-25 15:38:41,34.932125237173295,35.52020234184524,True
2,4,2019-04-25 15:38:41,34.833561392782244,35.43638992961297,True
2,5,2019-04-25 15:38:41,34.82485154695954,35.45727602291926,True
3,0,2019-04-25 15:38:41,34.92341580691599,35.54688130713919,True
3,1,2019-04-25 15:38:41,34.93500111611662,35.573055961739655,True
3,2,2019-04-25 15:38:41,34.87796649598034,35.56865570682259,True
3,3,2019-04-25 15:38:41,34.91386354817951,35.50507055385385,True
3,4,2019-04-25 15:38:41,34.81108089205498,35.428548580030125,True
3,5,2019-04-25 15:38:41,34.82145913889371,35.45320838734417,True
4,0,2019-04-25 15:38:41,34.90429740364599,35.55810107755655,True
4,1,2019-04-25 15:38:41,34.930562264901624,35.56852901547112,True
4,2,2019-04-25 15:38:41,34.864355858923176,35.53421270860503,True
4,3,2019-04-25 15:38:41,34.92425363132419,35.49704927295075,True
4,4,2019-04-25 15:38:41,34.85525956717772,35.467977988333296,True
4,5,2019-04-25 15:38:41,34.846274072305654,35.46683769107334,True
5,0,2019-04-25 15:38:41,34.89413564478216,35.53640006458963,True
5,1,2019-04-25 15:38:41,34.91907994624946,35.573647438579535,True
5,2,2019-04-25 15:38:41,34.81596743947342,35.54820101115652,True
5,3,2019-04-25 15:38:41,34.89398989885338,35.49745874132532,True
5,4,2019-04-25 15:38:41,34.82423919627905,35.435629393223515,True
