backtrack_hours,candidate_timestamp,candidate_id,latitude,longitude,support_score,normalized_support,source_score,ais_evidence,ais_available,cluster_id,cluster_uncertainty_radius_km,cluster_temporal_uncertainty_hours,cluster_candidate_stability_percent,rank_at_timestamp
30,2019-04-27T09:38:41.000000000,2019-04-27T09:38:41_cand003,34.450955352654404,34.948722998774,59.14994126314119,0.09839162352786754,0.41007897030773066,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,4
34,2019-04-27T05:38:41.000000000,2019-04-27T05:38:41_cand007,34.63395535265441,35.038722998774006,9.017033056759965,0.0172252086702821,0.3151238955793244,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,8
35,2019-04-27T04:38:41.000000000,2019-04-27T04:38:41_cand007,34.68495535265441,35.23072299877401,6.119277712634894,0.011909603652597052,0.30352547195078167,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,9
37,2019-04-27T02:38:41.000000000,2019-04-27T02:38:41_cand012,34.462955352654404,34.996722998774004,3.0245875959855644,0.006215624678641266,0.2968031534192002,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,10
43,2019-04-26T20:38:41.000000000,2019-04-26T20:38:41_cand010,34.4209553526544,34.969722998774,5.9950649136725715,0.015150395019143524,0.262765053597945,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,19
47,2019-04-26T16:38:41.000000000,2019-04-26T16:38:41_cand017,34.67595535265441,35.10472299877401,2.948914743260022,0.009263836556320508,0.30112511787773677,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,16
47,2019-04-26T16:38:41.000000000,2019-04-26T16:38:41_cand011,34.747955352654415,35.38372299877402,5.895540450092556,0.018520482243734353,0.2628110243841979,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,22
51,2019-04-26T12:38:41.000000000,2019-04-26T12:38:41_cand029,34.513955352654406,34.999722998774004,2.865535949637567,0.010542822000161758,0.26719323280059554,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,29
54,2019-04-26T09:38:41.000000000,2019-04-26T09:38:41_cand038,34.4299553526544,35.032722998774005,2.8823063476803568,0.012549306516010853,0.31876986395216167,0.3721303045173219,True,cluster0000,26.059916548347463,16.620575539975885,100.0,26
58,2019-04-26T05:38:41.000000000,2019-04-26T05:38:41_cand046,34.726955352654414,35.17972299877401,3.0053158768191457,0.015649859463450672,0.3321158751617041,0.4211390446554272,True,cluster0000,26.059916548347463,16.620575539975885,100.0,35
63,2019-04-26T00:38:41.000000000,2019-04-26T00:38:41_cand038,34.4329553526544,35.07772299877401,2.9870668315037654,0.0163938051460429,0.4032852489991692,0.7638680818956909,True,cluster0000,26.059916548347463,16.620575539975885,100.0,19
69,2019-04-25T18:38:41.000000000,2019-04-25T18:38:41_cand046,34.67595535265441,35.278722998774015,2.8699818699383677,0.01644041453251907,0.38463250705070284,0.6747367954340033,True,cluster0000,26.059916548347463,16.620575539975885,100.0,30
71,2019-04-25T16:38:41.000000000,2019-04-25T16:38:41_cand065,34.91595535265442,35.61772299877403,2.810223495241881,0.016965748940655924,0.3120785022129628,,False,cluster0006,0.9869764626964839,0.0,0.0,64
72,2019-04-25T15:38:41.000000000,2019-04-25T15:38:41_cand051,34.762955352654416,35.33872299877402,3.186899378248561,0.019309036607938975,0.35554353383265525,0.6242042786746177,True,cluster0000,26.059916548347463,16.620575539975885,100.0,42
72,2019-04-25T15:38:41.000000000,2019-04-25T15:38:41_cand048,34.978955352654424,35.578722998774026,3.264349973541931,0.019778300366322284,0.3151486404511646,,False,cluster0000,26.059916548347463,16.620575539975885,100.0,56
