backtrack_hours,candidate_timestamp,candidate_id,latitude,longitude,support_score,normalized_support,source_score,ais_evidence,ais_available,cluster_id,cluster_uncertainty_radius_km,cluster_temporal_uncertainty_hours,cluster_candidate_stability_percent,rank_at_timestamp
1,2019-06-14T19:35:58.000000000,2019-06-14T19:35:58_cand000,34.079546490362006,35.26746205776319,4735.69363676619,1.1439667039128518,1.029310483389029,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,1
10,2019-06-14T10:35:58.000000000,2019-06-14T10:35:58_cand000,34.12154649036201,35.27346205776319,4024.6348705673345,1.2856987845043983,0.9841359617360609,0.5631751160622019,True,cluster0000,30.07327070382936,19.60109328826938,100.0,1
16,2019-06-14T04:35:58.000000000,2019-06-14T04:35:58_cand000,34.15154649036201,35.26146205776319,3323.2181856857424,1.3231111558211586,1.0411813059712698,0.7631017598243338,True,cluster0000,30.07327070382936,19.60109328826938,100.0,1
20,2019-06-14T00:35:58.000000000,2019-06-14T00:35:58_cand000,34.15754649036201,35.25246205776319,2891.3736237905705,1.3140060805166403,1.027285190137599,0.6795215847272604,True,cluster0000,30.07327070382936,19.60109328826938,100.0,1
29,2019-06-13T15:35:58.000000000,2019-06-13T15:35:58_cand000,34.19654649036201,35.28246205776319,1896.805201999388,1.2349124431182879,1.0696303728507734,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,1
31,2019-06-13T13:35:58.000000000,2019-06-13T13:35:58_cand001,34.16654649036201,35.31846205776319,3.2897302517577445,0.0023195738213020334,0.2899323093868379,,False,cluster0001,0.980591072578447,0.0,0.0,2
47,2019-06-12T21:35:58.000000000,2019-06-12T21:35:58_cand001,34.25954649036201,35.165462057763186,424.78532700798974,0.4374599461815582,0.5691365549717485,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,2
47,2019-06-12T21:35:58.000000000,2019-06-12T21:35:58_cand004,34.319546490362015,35.09646205776318,3.1489208113630838,0.003242877380844592,0.25632492201003254,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,4
49,2019-06-12T19:35:58.000000000,2019-06-12T19:35:58_cand003,34.27454649036201,35.24646205776319,3.399328460958738,0.003801052602369556,0.29299002556645926,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,4
53,2019-06-12T15:35:58.000000000,2019-06-12T15:35:58_cand006,34.352546490362016,35.04546205776318,3.0251452938056094,0.00348834178605368,0.25628045411841016,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,6
54,2019-06-12T14:35:58.000000000,2019-06-12T14:35:58_cand003,34.325546490362015,35.04546205776318,6.044927183089778,0.0070229573698731345,0.3565463311988728,0.5920496266211089,True,cluster0000,30.07327070382936,19.60109328826938,100.0,3
63,2019-06-12T05:35:58.000000000,2019-06-12T05:35:58_cand005,34.36754649036202,35.150462057763185,3.046416934393913,0.0038513767000300865,0.2914128172552169,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,6
64,2019-06-12T04:35:58.000000000,2019-06-12T04:35:58_cand004,34.43054649036202,35.01546205776318,3.0841311170244996,0.004038432977733743,0.3167931752806616,0.4195786691920045,True,cluster0000,30.07327070382936,19.60109328826938,100.0,3
72,2019-06-11T20:35:58.000000000,2019-06-11T20:35:58_cand008,34.44254649036202,34.96146205776318,3.011874121021598,0.0044839191846171855,0.29155083845455104,,False,cluster0000,30.07327070382936,19.60109328826938,100.0,8
