particle_id,step,time,lon,lat
0,0,2019-06-14 20:35:58,35.2575,34.06498
1,0,2019-06-14 20:35:58,35.25793,34.06498
2,0,2019-06-14 20:35:58,35.25837,34.06498
3,0,2019-06-14 20:35:58,35.25881,34.06498
4,0,2019-06-14 20:35:58,35.25925,34.06498
5,0,2019-06-14 20:35:58,35.25968,34.06498
6,0,2019-06-14 20:35:58,35.26012,34.06498
7,0,2019-06-14 20:35:58,35.26056,34.06498
8,0,2019-06-14 20:35:58,35.26099,34.06498
9,0,2019-06-14 20:35:58,35.2575,34.06551
10,0,2019-06-14 20:35:58,35.25793,34.06551
11,0,2019-06-14 20:35:58,35.25837,34.06551
12,0,2019-06-14 20:35:58,35.25881,34.06551
13,0,2019-06-14 20:35:58,35.25925,34.06551
14,0,2019-06-14 20:35:58,35.25968,34.06551
15,0,2019-06-14 20:35:58,35.26012,34.06551
16,0,2019-06-14 20:35:58,35.26056,34.06551
17,0,2019-06-14 20:35:58,35.26099,34.06551
18,0,2019-06-14 20:35:58,35.26143,34.06551
19,0,2019-06-14 20:35:58,35.2575,34.06604
20,0,2019-06-14 20:35:58,35.25793,34.06604
21,0,2019-06-14 20:35:58,35.25837,34.06604
22,0,2019-06-14 20:35:58,35.25881,34.06604
23,0,2019-06-14 20:35:58,35.25925,34.06604
24,0,2019-06-14 20:35:58,35.25968,34.06604
25,0,2019-06-14 20:35:58,35.26012,34.06604
26,0,2019-06-14 20:35:58,35.26056,34.06604
27,0,2019-06-14 20:35:58,35.26099,34.06604
28,0,2019-06-14 20:35:58,35.26143,34.06604
29,0,2019-06-14 20:35:58,35.26187,34.06604
30,0,2019-06-14 20:35:58,35.2575,34.06657
31,0,2019-06-14 20:35:58,35.25793,34.06657
32,0,2019-06-14 20:35:58,35.25837,34.06657
33,0,2019-06-14 20:35:58,35.25881,34.06657
34,0,2019-06-14 20:35:58,35.25925,34.06657
35,0,2019-06-14 20:35:58,35.25968,34.06657
36,0,2019-06-14 20:35:58,35.26012,34.06657
37,0,2019-06-14 20:35:58,35.26056,34.06657
38,0,2019-06-14 20:35:58,35.26099,34.06657
39,0,2019-06-14 20:35:58,35.26143,34.06657
40,0,2019-06-14 20:35:58,35.26187,34.06657
41,0,2019-06-14 20:35:58,35.25793,34.06709
42,0,2019-06-14 20:35:58,35.25837,34.06709
43,0,2019-06-14 20:35:58,35.25881,34.06709
44,0,2019-06-14 20:35:58,35.25925,34.06709
45,0,2019-06-14 20:35:58,35.25968,34.06709
46,0,2019-06-14 20:35:58,35.26012,34.06709
47,0,2019-06-14 20:35:58,35.26056,34.06709
48,0,2019-06-14 20:35:58,35.26099,34.06709
49,0,2019-06-14 20:35:58,35.26143,34.06709
50,0,2019-06-14 20:35:58,35.26187,34.06709
51,0,2019-06-14 20:35:58,35.26231,34.06709
52,0,2019-06-14 20:35:58,35.25793,34.06762
53,0,2019-06-14 20:35:58,35.25837,34.06762
54,0,2019-06-14 20:35:58,35.25881,34.06762
55,0,2019-06-14 20:35:58,35.25925,34.06762
56,0,2019-06-14 20:35:58,35.25968,34.06762
57,0,2019-06-14 20:35:58,35.26012,34.06762
58,0,2019-06-14 20:35:58,35.26056,34.06762
59,0,2019-06-14 20:35:58,35.26099,34.06762
60,0,2019-06-14 20:35:58,35.26143,34.06762
61,0,2019-06-14 20:35:58,35.26187,34.06762
62,0,2019-06-14 20:35:58,35.26231,34.06762
63,0,2019-06-14 20:35:58,35.26274,34.06762
64,0,2019-06-14 20:35:58,35.25793,34.06815
65,0,2019-06-14 20:35:58,35.25837,34.06815
