particle_id,lat,lon,mass_kg,confidence,observation_timestamp
0,34.064984,35.257496,163.99,0.2733,2019-06-14T20:35:58
1,34.064984,35.257933,174.49,0.2852,2019-06-14T20:35:58
2,34.064984,35.25837,176.37,0.2846,2019-06-14T20:35:58
3,34.064984,35.258808,172.66,0.2841,2019-06-14T20:35:58
4,34.064984,35.259245,158.97,0.2835,2019-06-14T20:35:58
5,34.064984,35.259682,164.09,0.2846,2019-06-14T20:35:58
6,34.064984,35.26012,168.02,0.2876,2019-06-14T20:35:58
7,34.064984,35.260557,181.11,0.2905,2019-06-14T20:35:58
8,34.064984,35.260994,162.2,0.2933,2019-06-14T20:35:58
9,34.065511,35.257496,164.16,0.2848,2019-06-14T20:35:58
10,34.065511,35.257933,178.99,0.3023,2019-06-14T20:35:58
11,34.065511,35.25837,184.17,0.309,2019-06-14T20:35:58
12,34.065511,35.258808,199.17,0.3155,2019-06-14T20:35:58
13,34.065511,35.259245,194.3,0.3217,2019-06-14T20:35:58
14,34.065511,35.259682,198.26,0.3283,2019-06-14T20:35:58
15,34.065511,35.26012,206.28,0.335,2019-06-14T20:35:58
16,34.065511,35.260557,204.83,0.3414,2019-06-14T20:35:58
17,34.065511,35.260994,200.22,0.3473,2019-06-14T20:35:58
18,34.065511,35.261431,164.58,0.3063,2019-06-14T20:35:58
19,34.066038,35.257496,170.88,0.2758,2019-06-14T20:35:58
20,34.066038,35.257933,184.06,0.299,2019-06-14T20:35:58
21,34.066038,35.25837,193.5,0.3123,2019-06-14T20:35:58
22,34.066038,35.258808,206.35,0.3248,2019-06-14T20:35:58
23,34.066038,35.259245,208.38,0.3363,2019-06-14T20:35:58
24,34.066038,35.259682,201.07,0.3464,2019-06-14T20:35:58
25,34.066038,35.26012,208.94,0.3552,2019-06-14T20:35:58
26,34.066038,35.260557,214.9,0.3629,2019-06-14T20:35:58
27,34.066038,35.260994,231.9,0.3696,2019-06-14T20:35:58
28,34.066038,35.261431,221.55,0.3466,2019-06-14T20:35:58
29,34.066038,35.261869,161.3,0.262,2019-06-14T20:35:58
30,34.066565,35.257496,172.65,0.2668,2019-06-14T20:35:58
31,34.066565,35.257933,168.08,0.2956,2019-06-14T20:35:58
32,34.066565,35.25837,181.92,0.3156,2019-06-14T20:35:58
33,34.066565,35.258808,206.69,0.3336,2019-06-14T20:35:58
34,34.066565,35.259245,206.73,0.3491,2019-06-14T20:35:58
35,34.066565,35.259682,222.4,0.3612,2019-06-14T20:35:58
36,34.066565,35.26012,229.56,0.3705,2019-06-14T20:35:58
37,34.066565,35.260557,226.81,0.378,2019-06-14T20:35:58
38,34.066565,35.260994,230.41,0.384,2019-06-14T20:35:58
39,34.066565,35.261431,235.73,0.3734,2019-06-14T20:35:58
40,34.066565,35.261869,191.0,0.3226,2019-06-14T20:35:58
41,34.067092,35.257933,177.61,0.2922,2019-06-14T20:35:58
42,34.067092,35.25837,177.52,0.3188,2019-06-14T20:35:58
43,34.067092,35.258808,202.35,0.3417,2019-06-14T20:35:58
